,Job Title,Salary Estimate,Company Name,Location,Size,Type of ownership,Industry,Sector
182,Senior Data Analyst,$60K-$110K (Glassdoor est.),"Bounce Exchange
4.1","New York, NY",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services
183,Human Capital Data Analyst,$60K-$110K (Glassdoor est.),"Green Key Resources
4.5","New York, NY",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
184,GIS Data analyst,$60K-$110K (Glassdoor est.),"22nd Century Technologies
3.7","New York, NY",1001 to 5000 employees,Company - Private,IT Services,Information Technology
185,Junior Data Analytics Solutions Analyst,$60K-$110K (Glassdoor est.),"Praescient Analytics
3.1","New York, NY",51 to 200 employees,Company - Private,Consulting,Business Services
186,Data Analyst,$60K-$110K (Glassdoor est.),"Capgemini America, Inc.","Jersey City, NJ",-1,-1,-1,-1
187,Data Analyst w/Capital Markets,$60K-$110K (Glassdoor est.),"Software Guidance & Assistance
3.7","Jersey City, NJ",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
188,"VP, Research Project Analyst/Data Management",$60K-$110K (Glassdoor est.),"Citi
3.7","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
189,Food Data Analyst,$60K-$110K (Glassdoor est.),"Metropolitan Council on Jewish Poverty
3.2","New York, NY",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
190,Data Management Analyst,$60K-$110K (Glassdoor est.),"TSR Consulting
3.6","New York, NY",201 to 500 employees,Company - Public,Staffing & Outsourcing,Business Services
191,Data Governance Analyst,$60K-$110K (Glassdoor est.),"UBS
3.6","Weehawken, NJ",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
192,"Data Analyst, Enterprise Analytics",$60K-$110K (Glassdoor est.),"Take-Two Interactive Software, Inc.
3.7","New York, NY",1001 to 5000 employees,Company - Public,Video Games,Media
193,Data Analytics Solutions Analyst - Mid with Security Clearance,$60K-$110K (Glassdoor est.),"Praescient Analytics
3.1","New York, NY",51 to 200 employees,Company - Private,Consulting,Business Services
194,Data Analyst Assistant,$60K-$110K (Glassdoor est.),Teus Health,"Newark, NJ",-1,-1,-1,-1
195,Investment Management Summer Analyst Program - Office of COO: Data & Analytics,$60K-$110K (Glassdoor est.),"Morgan Stanley
3.8","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
196,Data Collection Analyst,$60K-$110K (Glassdoor est.),"ICAP at Columbia University
4.1","New York, NY",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
